"Created-At";"From-User";"From-User-Id";"To-User";"To-User-Id";"Language";"Source";"Text";"Geo-Location-Latitude";"Geo-Location-Longitude";"Retweet-Count";"Id"
2022-09-09 08:46:47;"birko";"129933722";;"-1";"en";"<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>";"RT @motus_art: 4of4: Objects dropping into water on 7-segment flipdisc display. #sculptor #flipdot #flipdisc https://t.co/UW34xyEpPS";;;50;"1568128770476851201"
2022-09-08 22:09:02;"Metaportation.eth";"1414574080423047168";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @motus_art: Some creative coding to start the week. #creativeCoding https://t.co/QO9ZspvaBt";;;9;"1567968272674619392"
2022-09-08 21:47:57;"nekonekno";"81486414";;"-1";"en";"<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>";"RT @motus_art: Some creative coding to start the week. #creativeCoding https://t.co/QO9ZspvaBt";;;9;"1567962966016008197"
2022-09-08 21:46:21;"p5tbot";"1329393355554426882";;"-1";"en";"<a href='https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels' rel='nofollow'>p5t</a>";"RT @motus_art: Some creative coding to start the week. #creativeCoding https://t.co/QO9ZspvaBt";;;9;"1567962565401092097"
2022-09-08 21:38:33;"Metaversis";"1460679323736756236";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @motus_art: Some creative coding to start the week. #creativeCoding https://t.co/QO9ZspvaBt";;;9;"1567960601653317632"
2022-09-08 16:46:37;"Nitek";"16687122";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"RT @motus_art: 4of4: Objects dropping into water on 7-segment flipdisc display. #sculptor #flipdot #flipdisc https://t.co/UW34xyEpPS";;;50;"1567887136455532544"
2022-09-07 13:16:04;"Nedusaneseneta";"1559418658660950016";;"-1";"en";"<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>";"i want this one so bad @mackrelam @LEOOO_CAI @satoshi_salmon @RibbonsNFT @Dakoghislain1 @motus_art @11it1 @The_OG_India @savagejerrynft @thekeithhodge https://t.co/irN3bgfPvn";;;0;"1567471758952878080"
