Created-At;From-User;From-User-Id;To-User;To-User-Id;Language;Source;Text;Geo-Location-Latitude;Geo-Location-Longitude;Retweet-Count;Id
07/09/2022 22:52;rita v ? (????,?) (?,?);1,38861E+18;UppercutNFT;1,47922E+18;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;@UppercutNFT @crypto_coven ????? can't wait! ?;;;0;1,56762E+18
07/09/2022 22:35;KekeGoodz.eth Xx;1,39579E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @cMeOnThBlkChain: She is an absolute beautyyyyy ?? Soo happy to add this gem to my collection ?  #cryptocoven @crypto_coven #NewNFTProfi…;;;2;1,56761E+18
07/09/2022 22:35;Vanta_BlvckXIII;1,43398E+18;;-1;en;<a href='http://twitter.com/download/android' rel='nofollow'>Twitter for Android</a>;RT @yatalley: I got a second @crypto_coven witch because let’s be real, one would get bored alone. https://t.co/ILbVAfG6fz;;;1;1,56761E+18
07/09/2022 22:30;crypto coven;1,44402E+18;;-1;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;"RT @livpasquarelli: I scoured for an occultist ??? Wildfire the Scorched answered  my call ?

? sagittarius | ? cancer | ? taurus - fire, w…";;;2;1,56761E+18
07/09/2022 22:26;Ren Clark;820592744;adriannalakatos;1,22364E+18;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi!;;;0;1,56761E+18
07/09/2022 22:24;kat ???;1,45336E+18;jrrlynstone;1,48355E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@jrrlynstone @crypto_coven yesss ? ready to make some mischief ?;;;0;1,56761E+18
07/09/2022 21:37;Liv ?;1,35455E+18;keridwen_eth;1,44517E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@keridwen_eth @crypto_coven I had my eye on another on the floor for a while but then I saw her and was like ? MINE! lol I love yours as well - earthy vibes;;;0;1,5676E+18
07/09/2022 21:15;??;1,56053E+18;;-1;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;RT @keridwen_eth: @livpasquarelli @crypto_coven ugh this color palette!! what an electric pick;;;2;1,56759E+18
07/09/2022 20:56;Iris ten Teije;1,48384E+18;MadsMcIlwain;1,30882E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@MadsMcIlwain @cryptoladygang @sf_meetup @crypto_coven @cryptobesties_ @hypnobrando building a customer support platform for web3 with @mava_app ?;;;0;1,56759E+18
07/09/2022 20:35;??? CryptoSurfz ??????;1,53032E+18;livpasquarelli;1,35455E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@livpasquarelli @crypto_coven Yeah who needs logic! Nice pickup she’s a beauty ? Need to add a 2nd one to the coven myself https://t.co/alUsHsVLla;;;0;1,56758E+18
07/09/2022 19:58;Metapreneur.X (?,?);1,26866E+18;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar Hi!;;;0;1,56757E+18
07/09/2022 19:45;entropyeq??? ?;1,36504E+18;livpasquarelli;1,35455E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@livpasquarelli @crypto_coven 100% would expect to find these two crafting spellls and tinkering with recipes together;;;0;1,56757E+18
07/09/2022 19:43;Liv ?;1,35455E+18;entropyeq_;1,36504E+18;en;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@entropyeq_ @crypto_coven ohhhh ours are totally sisters of the same order ?;;;0;1,56757E+18
07/09/2022 19:25;jayoon;1,38801E+18;adriannalakatos;1,22364E+18;und;<a href='https://mobile.twitter.com' rel='nofollow'>Twitter Web App</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar ?? https://t.co/P4iMQXQZEB;;;0;1,56756E+18
07/09/2022 19:24;?LoriGrace? ???;134375125;adriannalakatos;1,22364E+18;und;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@adriannalakatos @MyBFF @CPGCLUB @crypto_coven @WabiSabiNFT @valfre @floor @ensdomains @EtherealartNFT @bigwideworldnft @worldofwomennft @techie_club @sad_girls_bar https://t.co/3u3GjxTidW;;;0;1,56756E+18
07/09/2022 19:09;entropyeq??? ?;1,36504E+18;livpasquarelli;1,35455E+18;en;<a href='http://twitter.com/download/iphone' rel='nofollow'>Twitter for iPhone</a>;@livpasquarelli @crypto_coven love your new WITCH! ? https://t.co/5L6tiZdnzB;;;0;1,56756E+18
